A,B,C,D,E
-7.267849E-07,4.058074E+04,-1.242861E-01,0.000000E+00,2.520000E+00
-7.096414E-07,4.074463E+04,-1.242850E-01,0.000000E+00,2.530000E+00
-6.924708E-07,4.090852E+04,-1.242838E-01,0.000000E+00,2.540000E+00
-6.753349E-07,4.107241E+04,-1.242822E-01,0.000000E+00,2.550000E+00
-6.581818E-07,4.123630E+04,-1.242804E-01,0.000000E+00,2.560000E+00
-6.410750E-07,4.140019E+04,-1.242785E-01,0.000000E+00,2.570000E+00
-6.239585E-07,4.156408E+04,-1.242763E-01,0.000000E+00,2.580000E+00
-6.068996E-07,4.172796E+04,-1.242739E-01,0.000000E+00,2.590000E+00
-5.898407E-07,4.189185E+04,-1.242713E-01,0.000000E+00,2.600000E+00
-5.728493E-07,4.205574E+04,-1.242685E-01,0.000000E+00,2.610000E+00
-5.558668E-07,4.221963E+04,-1.242656E-01,0.000000E+00,2.620000E+00
-5.389631E-07,4.238352E+04,-1.242626E-01,0.000000E+00,2.630000E+00
-5.220767E-07,4.254741E+04,-1.242594E-01,0.000000E+00,2.640000E+00
-5.052789E-07,4.271130E+04,-1.242561E-01,0.000000E+00,2.650000E+00
-4.885066E-07,4.287519E+04,-1.242527E-01,0.000000E+00,2.660000E+00
-4.718343E-07,4.303908E+04,-1.242492E-01,0.000000E+00,2.670000E+00
-4.551945E-07,4.320296E+04,-1.242457E-01,0.000000E+00,2.680000E+00
-4.386645E-07,4.336685E+04,-1.242421E-01,0.000000E+00,2.690000E+00
-4.221739E-07,4.353074E+04,-1.242385E-01,0.000000E+00,2.700000E+00
-4.058031E-07,4.369463E+04,-1.242348E-01,0.000000E+00,2.710000E+00
-3.894787E-07,4.385852E+04,-1.242312E-01,0.000000E+00,2.720000E+00
-3.732831E-07,4.402241E+04,-1.242275E-01,0.000000E+00,2.730000E+00
-3.571393E-07,4.418630E+04,-1.242239E-01,0.000000E+00,2.740000E+00
-3.411333E-07,4.435019E+04,-1.242203E-01,0.000000E+00,2.750000E+00
-3.251846E-07,4.451407E+04,-1.242168E-01,0.000000E+00,2.760000E+00
-3.093824E-07,4.467796E+04,-1.242133E-01,0.000000E+00,2.770000E+00
-2.936435E-07,4.484185E+04,-1.242099E-01,0.000000E+00,2.780000E+00
-2.780590E-07,4.500574E+04,-1.242066E-01,0.000000E+00,2.790000E+00
-2.625415E-07,4.516963E+04,-1.242035E-01,0.000000E+00,2.800000E+00
-2.471861E-07,4.533352E+04,-1.242004E-01,0.000000E+00,2.810000E+00
-2.319009E-07,4.549741E+04,-1.241974E-01,0.000000E+00,2.820000E+00
-2.167857E-07,4.566130E+04,-1.241946E-01,0.000000E+00,2.830000E+00
-2.017433E-07,4.582519E+04,-1.241920E-01,0.000000E+00,2.840000E+00
-1.868775E-07,4.598907E+04,-1.241895E-01,0.000000E+00,2.850000E+00
-1.720881E-07,4.615296E+04,-1.241872E-01,0.000000E+00,2.860000E+00
-1.574830E-07,4.631685E+04,-1.241850E-01,0.000000E+00,2.870000E+00
-1.429564E-07,4.648074E+04,-1.241830E-01,0.000000E+00,2.880000E+00
-1.286189E-07,4.664463E+04,-1.241813E-01,0.000000E+00,2.890000E+00
-1.143607E-07,4.680852E+04,-1.241796E-01,0.000000E+00,2.900000E+00
-1.002982E-07,4.697241E+04,-1.241782E-01,0.000000E+00,2.910000E+00
0.000000E+00,4.713630E+04,-1.241770E-01,0.000000E+00,2.920000E+00
0.000000E+00,4.730019E+04,-1.241760E-01,0.000000E+00,2.930000E+00
0.000000E+00,4.746407E+04,-1.241752E-01,0.000000E+00,2.940000E+00
0.000000E+00,4.762796E+04,-1.241746E-01,0.000000E+00,2.950000E+00
0.000000E+00,4.779185E+04,-1.241742E-01,0.000000E+00,2.960000E+00
0.000000E+00,4.795574E+04,-1.241740E-01,0.000000E+00,2.970000E+00
0.000000E+00,4.811963E+04,-1.241740E-01,0.000000E+00,2.980000E+00
0.000000E+00,4.828352E+04,-1.241742E-01,0.000000E+00,2.990000E+00
0.000000E+00,4.844741E+04,-1.241745E-01,0.000000E+00,3.000000E+00
0.000000E+00,4.861130E+04,-1.241751E-01,0.000000E+00,3.010000E+00
0.000000E+00,4.877519E+04,-1.241759E-01,0.000000E+00,3.020000E+00
0.000000E+00,4.893907E+04,-1.241768E-01,0.000000E+00,3.030000E+00
0.000000E+00,4.910296E+04,-1.241779E-01,0.000000E+00,3.040000E+00
0.000000E+00,4.926685E+04,-1.241791E-01,0.000000E+00,3.050000E+00
0.000000E+00,4.943074E+04,-1.241806E-01,0.000000E+00,3.060000E+00
1.052143E-07,4.959463E+04,-1.241821E-01,0.000000E+00,3.070000E+00
1.168008E-07,4.975852E+04,-1.241838E-01,0.000000E+00,3.080000E+00
1.281432E-07,4.992241E+04,-1.241857E-01,0.000000E+00,3.090000E+00
1.394166E-07,5.008630E+04,-1.241876E-01,0.000000E+00,3.100000E+00
1.504422E-07,5.025018E+04,-1.241897E-01,0.000000E+00,3.110000E+00
1.614021E-07,5.041407E+04,-1.241919E-01,0.000000E+00,3.120000E+00
1.721108E-07,5.057796E+04,-1.241941E-01,0.000000E+00,3.130000E+00
1.827554E-07,5.074185E+04,-1.241965E-01,0.000000E+00,3.140000E+00
1.931442E-07,5.090574E+04,-1.241989E-01,0.000000E+00,3.150000E+00
2.034730E-07,5.106963E+04,-1.242014E-01,0.000000E+00,3.160000E+00
2.135430E-07,5.123352E+04,-1.242039E-01,0.000000E+00,3.170000E+00
2.235566E-07,5.139741E+04,-1.242065E-01,0.000000E+00,3.180000E+00
2.333073E-07,5.156130E+04,-1.242091E-01,0.000000E+00,3.190000E+00
2.430057E-07,5.172518E+04,-1.242117E-01,0.000000E+00,3.200000E+00
2.524381E-07,5.188907E+04,-1.242143E-01,0.000000E+00,3.210000E+00
2.618225E-07,5.205296E+04,-1.242169E-01,0.000000E+00,3.220000E+00
2.709357E-07,5.221685E+04,-1.242194E-01,0.000000E+00,3.230000E+00
2.800064E-07,5.238074E+04,-1.242220E-01,0.000000E+00,3.240000E+00
2.888031E-07,5.254463E+04,-1.242245E-01,0.000000E+00,3.250000E+00
2.975618E-07,5.270852E+04,-1.242270E-01,0.000000E+00,3.260000E+00
3.060426E-07,5.287241E+04,-1.242294E-01,0.000000E+00,3.270000E+00
3.144904E-07,5.303630E+04,-1.242317E-01,0.000000E+00,3.280000E+00
3.226587E-07,5.320018E+04,-1.242340E-01,0.000000E+00,3.290000E+00
3.308000E-07,5.336407E+04,-1.242362E-01,0.000000E+00,3.300000E+00
3.386583E-07,5.352796E+04,-1.242383E-01,0.000000E+00,3.310000E+00
3.464951E-07,5.369185E+04,-1.242403E-01,0.000000E+00,3.320000E+00
3.540472E-07,5.385574E+04,-1.242422E-01,0.000000E+00,3.330000E+00
